unit_id,policy_domain,decision_orientation,document_trigger,actors,geography,risk_terms,fiscal_terms,institutional_terms,monetary_expressions,deontic_formulas,policy_domain_status,decision_orientation_status,document_trigger_status,actors_status,geography_status,risk_terms_status,fiscal_terms_status,institutional_terms_status,monetary_expressions_status,deontic_formulas_status,policy_domain_review_status,decision_orientation_review_status,document_trigger_review_status,actors_review_status,geography_review_status,risk_terms_review_status,fiscal_terms_review_status,institutional_terms_review_status,monetary_expressions_review_status,deontic_formulas_review_status
R142_0029,taxation_customs,inform,supplica,,,,datio,,,,uncertain,uncertain,uncertain,not_checked,not_checked,not_checked,uncertain,not_checked,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,not_checked
R142_0030,trade_regulation,,report,,Ponente|Zante|Ferrara,,,senato|collegio,,debba,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,not_checked,uncertain,not_checked,uncertain,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation
R142_0031,consular_affairs,,supplica,,Verona|Rovigo,,datio,,,,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,not_checked
R142_0032,taxation_customs,regulate,supplica,,,,datij|datio|ducati,,ducati 400,debba,uncertain,uncertain,uncertain,not_checked,not_checked,not_checked,uncertain,not_checked,uncertain,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation
R142_0033,citizenship_privilege,,,,,,,,,,uncertain,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked
R142_0034,consular_affairs,recommend,supplica,,Levante,,,senato,,debba|stimiamo,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,not_checked,uncertain,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation
R142_0035,taxation_customs,inform,,,Levante,,datij|datio|gravezze|sei per cento|6 per c,,6 per cento,stimiamo,uncertain,uncertain,not_checked,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,pending_expert_validation,pending_expert_validation,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation
R142_0036,,,,,,,,,,,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked
R142_0037,institutional_procedure,grant,supplica,,,,,x officij,,debba|debbano,uncertain,uncertain,uncertain,not_checked,not_checked,not_checked,not_checked,uncertain,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation
R142_0038,citizenship_privilege,,,,,,datij,,,,uncertain,not_checked,not_checked,not_checked,not_checked,not_checked,uncertain,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,not_checked
R142_0039,manufactures,grant,supplica,,Bergamo,,datij,proveditori,,,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,not_checked,not_checked
R142_0040,currency_monetary,,,,,,ducati,senato,ducati statuita|lire 10,debba|debbano,uncertain,not_checked,not_checked,not_checked,not_checked,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0041,currency_monetary,prohibit,,,,,datij,senato,,raccordar,uncertain,uncertain,not_checked,not_checked,not_checked,not_checked,uncertain,uncertain,not_checked,uncertain,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation
R142_0042,currency_monetary,recommend,commission,,Roma,,datij,senato,,debba|stimiamo|raccordar,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation
R142_0043,manufactures,regulate,,,Spalato,,,provveditori,,,uncertain,uncertain,not_checked,not_checked,uncertain,not_checked,not_checked,uncertain,not_checked,not_checked,pending_expert_validation,pending_expert_validation,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation,not_checked,not_checked
R142_0044,taxation_customs,,supplica,,Alessandria|Corfù|Ragusi,,datio|ducati|sei per cento,senato|governatori delle intrade,ducati 19.m,,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,uncertain,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked
R142_0045,currency_monetary,regulate,supplica,,Cipro|Levante,,datij,,,stimiamo,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation
R142_0046,manufactures,,supplica,,,,,senato,,,uncertain,not_checked,uncertain,not_checked,not_checked,not_checked,not_checked,uncertain,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,not_checked
R142_0047,manufactures,,report,,Verona|Levante,,datij|datio|gravezze|ducati,senato,ducati 2,debba|stimiamo,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0048,taxation_customs,recommend,supplica,,Verona|Levante|Napoli,,datij|datio|sei per cento,senato|proveditori|provveditori,ducato et|14 per c°,non possino|stimiamo,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0049,currency_monetary,,commission,,Ponente,,,senato|zecca,20 per cento,stimiamo|sia tenuto,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,not_checked,uncertain,uncertain,uncertain,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0050,shipping_navigation,prohibit,commission,,Candia|Alessandria|Cipro|Levante|Napoli,,datij|datio|ducati|cottimo,senato,ducati di,non possino|giudichiamo,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0051,institutional_procedure,grant,supplica,,Cipro,,,senato|x officij,,stimiamo,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,not_checked,uncertain,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation
R142_0052,trade_regulation,,,,Spalato,,,senato|collegio,,,uncertain,not_checked,not_checked,not_checked,uncertain,not_checked,not_checked,uncertain,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation,not_checked,not_checked
R142_0053,minorities_governance,,commission,,Spalato,,datij|datio|sei per cento,senato|collegio|cattaveri,,stimiamo|raccordar,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,not_checked,uncertain,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation
R142_0054,taxation_customs,,,,Venezia,,datij|gravezze|decima|ducati,,ducati pagati,,uncertain,not_checked,not_checked,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked
R142_0055,minorities_governance,,supplica,,,,datij,senato|cattaveri,,,uncertain,not_checked,uncertain,not_checked,not_checked,not_checked,uncertain,uncertain,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,pending_expert_validation,not_checked,not_checked
R142_0056,trade_regulation,recommend,,,,,,,,raccordar,uncertain,uncertain,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,uncertain,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,pending_expert_validation
R142_0057,trade_regulation,prohibit,,,,,,,,non possa|consigliamo|raccordar,uncertain,uncertain,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,uncertain,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,not_checked,pending_expert_validation
R142_0058,taxation_customs,,,,Venezia,,gravezze|tansa,,,,uncertain,not_checked,not_checked,not_checked,uncertain,not_checked,uncertain,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,not_checked
R142_0059,shipping_navigation,,supplica,,Ponente,,datio,senato,,,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,not_checked,not_checked
R142_0060,taxation_customs,recommend,supplica,,Alessandria,,cottimo,proveditori,,stimiamo,uncertain,uncertain,uncertain,not_checked,uncertain,not_checked,uncertain,uncertain,not_checked,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,pending_expert_validation,not_checked,pending_expert_validation
R142_0061,credit_bankruptcy,,,,Levante|Ponente,,ducati,,ducati [è,,uncertain,not_checked,not_checked,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked
R142_0062,taxation_customs,regulate,commission,,,,datij|datio|sei per cento,collegio,10 per cento,debba,uncertain,uncertain,uncertain,not_checked,not_checked,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
R142_0063,citizenship_privilege,,report,,Levante|Ponente|Spalato,,datij|gravezze|cottimo,,,stimiamo,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,uncertain,not_checked,not_checked,uncertain,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,pending_expert_validation,not_checked,not_checked,pending_expert_validation
R142_0064,credit_bankruptcy,regulate,,,,,ducati,avogaria,ducati mille,debba|debbano|non possa|stimiamo,uncertain,uncertain,not_checked,not_checked,not_checked,not_checked,uncertain,uncertain,uncertain,uncertain,pending_expert_validation,pending_expert_validation,not_checked,not_checked,not_checked,not_checked,pending_expert_validation,pending_expert_validation,pending_expert_validation,pending_expert_validation
